station_name,line,city,gu,dong,gu_dong
잠실새내,2호선,서울특별시,송파구,잠실동,송파구_잠실동
종합운동장,2호선,서울특별시,송파구,잠실동,송파구_잠실동
삼전,9호선(연장),서울특별시,송파구,잠실동,송파구_잠실동
종합운동장,9호선(연장),서울특별시,송파구,잠실동,송파구_잠실동
복정,8호선,서울특별시,송파구,장지동,송파구_장지동
장지,8호선,서울특별시,송파구,장지동,송파구_장지동
복정,분당선,서울특별시,송파구,장지동,송파구_장지동
천호(풍납토성),5호선,서울특별시,송파구,풍납동,송파구_풍납동
목동,5호선,서울특별시,양천구,목동,양천구_목동
오목교(목동운동장앞),5호선,서울특별시,양천구,목동,양천구_목동
등촌,9호선,서울특별시,양천구,목동,양천구_목동
신목동,9호선,서울특별시,양천구,목동,양천구_목동
염창,9호선,서울특별시,양천구,목동,양천구_목동
신정네거리,2호선,서울특별시,양천구,신정동,양천구_신정동
양천구청,2호선,서울특별시,양천구,신정동,양천구_신정동
신정(은행정),5호선,서울특별시,양천구,신정동,양천구_신정동
영등포구청,5호선,서울특별시,영등포구,당산동2가,영등포구_당산동2가
영등포구청,2호선,서울특별시,영등포구,당산동3가,영등포구_당산동3가
당산,9호선,서울특별시,영등포구,당산동5가,영등포구_당산동5가
당산,2호선,서울특별시,영등포구,당산동6가,영등포구_당산동6가
대림(구로구청),7호선,서울특별시,영등포구,대림동,영등포구_대림동
문래,2호선,서울특별시,영등포구,문래동3가,영등포구_문래동3가
신풍,7호선,서울특별시,영등포구,신길동,영등포구_신길동
대방,경부선,서울특별시,영등포구,신길동,영등포구_신길동
신길,경부선,서울특별시,영등포구,신길동,영등포구_신길동
대방,신림선,서울특별시,영등포구,신길동,영등포구_신길동
보라매,신림선,서울특별시,영등포구,신길동,영등포구_신길동
서울지방병무청,신림선,서울특별시,영등포구,신길동,영등포구_신길동
양평,5호선,서울특별시,영등포구,양평동2가,영등포구_양평동2가
선유도,9호선,서울특별시,영등포구,양평동5가,영등포구_양평동5가
여의나루,5호선,서울특별시,영등포구,여의도동,영등포구_여의도동
여의도,5호선,서울특별시,영등포구,여의도동,영등포구_여의도동
국회의사당,9호선,서울특별시,영등포구,여의도동,영등포구_여의도동
샛강,9호선,서울특별시,영등포구,여의도동,영등포구_여의도동
여의도,9호선,서울특별시,영등포구,여의도동,영등포구_여의도동
샛강,신림선,서울특별시,영등포구,여의도동,영등포구_여의도동
영등포,경부선,서울특별시,영등포구,영등포동,영등포구_영등포동
신길,5호선,서울특별시,영등포구,영등포동1가,영등포구_영등포동1가
영등포시장,5호선,서울특별시,영등포구,영등포동5가,영등포구_영등포동5가
숙대입구(갈월),4호선,서울특별시,용산구,갈월동,용산구_갈월동
남영,경부선,서울특별시,용산구,갈월동,용산구_갈월동
서울역,4호선,서울특별시,용산구,동자동,용산구_동자동
서울역,경부선,서울특별시,용산구,동자동,용산구_동자동
서울역,공항철도1호선,서울특별시,용산구,동자동,용산구_동자동
서빙고,경원선,서울특별시,용산구,서빙고동,용산구_서빙고동
효창공원앞,6호선,서울특별시,용산구,용문동,용산구_용문동
효창공원앞,경의중앙선,서울특별시,용산구,용문동,용산구_용문동
녹사평(용산구청),6호선,서울특별시,용산구,용산동4가,용산구_용산동4가
이촌(국립중앙박물관),4호선,서울특별시,용산구,용산동5가,용산구_용산동5가
이촌(국립중앙박물관),경원선,서울특별시,용산구,용산동5가,용산구_용산동5가
이태원,6호선,서울특별시,용산구,이태원동,용산구_이태원동
삼각지,4호선,서울특별시,용산구,한강로1가,용산구_한강로1가
삼각지,6호선,서울특별시,용산구,한강로1가,용산구_한강로1가
신용산,4호선,서울특별시,용산구,한강로2가,용산구_한강로2가
용산,경부선,서울특별시,용산구,한강로3가,용산구_한강로3가
한강진,6호선,서울특별시,용산구,한남동,용산구_한남동
한남,경원선,서울특별시,용산구,한남동,용산구_한남동
구산,6호선,서울특별시,은평구,갈현동,은평구_갈현동
녹번,3호선,서울특별시,은평구,녹번동,은평구_녹번동
역촌,6호선,서울특별시,은평구,녹번동,은평구_녹번동
불광,3호선,서울특별시,은평구,대조동,은평구_대조동
불광,6호선,서울특별시,은평구,대조동,은평구_대조동
연신내,6호선,서울특별시,은평구,대조동,은평구_대조동
연신내,수도권 광역급행철도,서울특별시,은평구,대조동,은평구_대조동
연신내,3호선,서울특별시,은평구,불광동,은평구_불광동
독바위,6호선,서울특별시,은평구,불광동,은평구_불광동
디지털미디어시티,경의중앙선,서울특별시,은평구,수색동,은평구_수색동
디지털미디어시티,경의중앙선,서울특별시,은평구,수색동,은평구_수색동
수색,경의중앙선,서울특별시,은평구,수색동,은평구_수색동
새절(신사),6호선,서울특별시,은평구,신사동,은평구_신사동
응암,6호선,서울특별시,은평구,신사동,은평구_신사동
증산(명지대앞),6호선,서울특별시,은평구,증산동,은평구_증산동
구파발,3호선,서울특별시,은평구,진관동,은평구_진관동
안국,3호선,서울특별시,종로구,경운동,종로구_경운동
종로3가,5호선,서울특별시,종로구,돈의동,종로구_돈의동
혜화,4호선,서울특별시,종로구,동숭동,종로구_동숭동
종로3가,3호선,서울특별시,종로구,묘동,종로구_묘동
광화문(세종문화회관),5호선,서울특별시,종로구,세종로,종로구_세종로
동묘앞,1호선,서울특별시,종로구,숭인동,종로구_숭인동
경복궁(정부서울청사),3호선,서울특별시,종로구,적선동,종로구_적선동
종각,1호선,서울특별시,종로구,종로1가,종로구_종로1가
종로3가,1호선,서울특별시,종로구,종로3가,종로구_종로3가
종로5가,1호선,서울특별시,종로구,종로5가,종로구_종로5가
동대문,4호선,서울특별시,종로구,종로6가,종로구_종로6가
동대문,1호선,서울특별시,종로구,창신동,종로구_창신동
동묘앞,6호선,서울특별시,종로구,창신동,종로구_창신동
창신,6호선,서울특별시,종로구,창신동,종로구_창신동
동대문역사문화공원,5호선,서울특별시,중구,광희동1가,중구_광희동1가
회현(남대문시장),4호선,서울특별시,중구,남창동,중구_남창동
서울역,1호선,서울특별시,중구,봉래동2가,중구_봉래동2가
서울역,경의중앙선,서울특별시,중구,봉래동2가,중구_봉래동2가
서울역,경의중앙선,서울특별시,중구,봉래동2가,중구_봉래동2가
서울,수도권 광역급행철도,서울특별시,중구,봉래동2가,중구_봉래동2가
시청,2호선,서울특별시,중구,서소문동,중구_서소문동
신당,2호선,서울특별시,중구,신당동,중구_신당동
약수,3호선,서울특별시,중구,신당동,중구_신당동
청구,5호선,서울특별시,중구,신당동,중구_신당동
버티고개,6호선,서울특별시,중구,신당동,중구_신당동
약수,6호선,서울특별시,중구,신당동,중구_신당동
청구,6호선,서울특별시,중구,신당동,중구_신당동
을지로입구,2호선,서울특별시,중구,을지로1가,중구_을지로1가
을지로3가,2호선,서울특별시,중구,을지로3가,중구_을지로3가
을지로3가,3호선,서울특별시,중구,을지로3가,중구_을지로3가
을지로4가,2호선,서울특별시,중구,을지로4가,중구_을지로4가
동대문역사문화공원,2호선,서울특별시,중구,을지로7가,중구_을지로7가
동대문역사문화공원,4호선,서울특별시,중구,을지로7가,중구_을지로7가
동대입구,3호선,서울특별시,중구,장충동2가,중구_장충동2가
시청,1호선,서울특별시,중구,정동,중구_정동
을지로4가,5호선,서울특별시,중구,주교동,중구_주교동
명동,4호선,서울특별시,중구,충무로2가,중구_충무로2가
충무로,3호선,서울특별시,중구,필동2가,중구_필동2가
충무로,4호선,서울특별시,중구,필동2가,중구_필동2가
신당,6호선,서울특별시,중구,흥인동,중구_흥인동
